"","Score présidentiel","Score Premier Ministre","Score Extrême Droite","Total Députés","Députés Extrême Droite","Députés Centre"
"Score présidentiel",1,0.360190768619889,0.124492690989303,0.273574460103073,-0.0205981064616138,0.145197146363981
"Score Premier Ministre",0.360190768619889,1,-0.319837444167872,0.0944831358767064,-0.522635031827987,-0.172227549516186
"Score Extrême Droite",0.124492690989303,-0.319837444167872,1,0.50070461673505,0.20470567970201,0.30998702857337
"Total Députés",0.273574460103073,0.0944831358767064,0.50070461673505,1,0.231913140402365,0.180098460027907
"Députés Extrême Droite",-0.0205981064616138,-0.522635031827987,0.20470567970201,0.231913140402365,1,0.55315097778622
"Députés Centre",0.145197146363981,-0.172227549516186,0.30998702857337,0.180098460027907,0.55315097778622,1
